City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Saint-Philippe,RE,2021-04-25 00:00:52,-21.3585,55.7679,77.0,78,90,23.02
132,Komsomolskiy,UZ,2021-04-25 00:04:52,40.4272,71.7189,55.4,47,23,6.91
133,Bajil,YE,2021-04-25 00:04:52,15.0584,43.2851,83.46,59,62,2.82
134,Port Lincoln,AU,2021-04-25 00:04:53,-34.7333,135.8667,62.22,59,0,2.59
135,Sennoy,RU,2021-04-25 00:04:53,52.1509,46.9631,40.78,78,28,15.99
136,Mahebourg,MU,2021-04-25 00:04:53,-20.4081,57.7,78.8,78,75,14.97
137,Los Llanos De Aridane,ES,2021-04-25 00:04:54,28.6585,-17.9182,69.8,37,0,10.36
138,Wilmington,US,2021-04-25 00:02:24,34.2257,-77.9447,69.8,73,40,19.57
139,Bambous Virieux,MU,2021-04-25 00:01:17,-20.3428,57.7575,78.8,78,75,14.97
140,Kidal,ML,2021-04-25 00:04:55,18.4411,1.4078,86.05,8,0,7.4
141,Thompson,CA,2021-04-25 00:00:12,55.7435,-97.8558,28.4,46,75,4.61
142,Lompoc,US,2021-04-25 00:01:07,34.6391,-120.4579,59.0,63,92,12.66
143,Bengkulu,ID,2021-04-25 00:03:37,-3.8004,102.2655,75.83,85,67,3.31
144,San Rafael,AR,2021-04-25 00:04:56,-34.6177,-68.3301,61.32,57,29,6.96
145,Port Alfred,ZA,2021-04-25 00:01:06,-33.5906,26.891,65.19,83,67,7.74
146,Onguday,RU,2021-04-25 00:04:56,50.75,86.15,26.92,83,98,1.05
147,Maracaibo,VE,2021-04-25 00:03:51,10.6317,-71.6406,82.15,72,13,13.58
148,Itarema,BR,2021-04-25 00:03:56,-2.9248,-39.9167,78.4,86,99,10.25
149,Geraldton,AU,2021-04-25 00:01:05,-28.7667,114.6,60.8,77,64,6.91
150,Mount Pleasant,US,2021-04-25 00:00:33,32.7941,-79.8626,66.2,94,75,6.91
151,Portland,US,2021-04-25 00:03:14,45.5234,-122.6762,54.0,71,75,8.05
152,Sayansk,RU,2021-04-25 00:04:57,54.1088,102.1648,33.78,74,100,2.15
153,Richmond,US,2021-04-25 00:01:16,37.5538,-77.4603,54.0,94,90,8.05
154,Nanortalik,GL,2021-04-25 00:03:39,60.1432,-45.2371,40.78,76,99,13.2
155,Thinadhoo,MV,2021-04-25 00:04:10,0.5333,72.9333,82.51,68,2,7.2
156,Novomalorossiyskaya,RU,2021-04-25 00:04:58,45.6348,39.8948,42.35,68,100,5.3
