City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,Bontang,ID,78.94,overcast clouds,0.1333,117.5,Bontang
462,Kalmunai,LK,80.11,overcast clouds,7.4167,81.8167,Kalmunai
463,Kladanj,BA,66.2,few clouds,44.2264,18.6914,Kladanj
465,Tukrah,LY,82.02,few clouds,32.5341,20.5791,Tocra
467,Bacolod,PH,78.96,light rain,10.6667,122.95,Bacolod
479,Alofi,NU,78.8,overcast clouds,-19.0595,-169.9187,Alofi
482,Nha Trang,VN,77.0,few clouds,12.25,109.1833,Nha Trang
485,Vanimo,PG,77.67,overcast clouds,-2.6741,141.3028,Vanimo
486,Hanna,CA,73.99,clear sky,51.6334,-111.9018,Hanna
487,Benguela,AO,79.32,broken clouds,-12.5763,13.4055,Benguela
492,Gasa,PS,73.99,clear sky,31.5,34.4667,Gaza
495,Mocuba,MZ,72.18,clear sky,-16.8392,36.9856,Mocuba
500,Qui Nhon,VN,76.03,overcast clouds,13.7667,109.2333,Qui Nhơn
501,Bonoua,CI,84.2,few clouds,5.2741,-3.595,Bonoua
502,Labrea,BR,76.01,overcast clouds,-7.2586,-64.7981,Lábrea
503,Phan Thiet,VN,78.71,overcast clouds,10.9333,108.1,Phan Thiet
504,Tianpeng,CN,70.0,clear sky,30.9866,103.9393,Chengdu
505,Palmerston,AU,73.4,clear sky,-12.485999999999999,130.9833,Darwin
507,Camocim,BR,81.3,overcast clouds,-2.9022,-40.8411,Camocim
510,Praia,CV,73.4,scattered clouds,14.9215,-23.5087,Praia
511,Beira,MZ,80.01,few clouds,-19.8436,34.8389,Beira
513,Port Lincoln,AU,66.99,overcast clouds,-34.7333,135.8667,Port Lincoln
515,Bushehr,IR,75.2,clear sky,28.9684,50.8385,Bandar Bushehr
516,Hat Yai,TH,75.2,broken clouds,7.0084,100.4767,Hat Yai
520,Hays,US,68.0,overcast clouds,30.0502,-98.0336,Wimberley
524,Pishin,PK,70.09,broken clouds,30.5803,66.9961,Pishīn
526,Suining,CN,73.45,light rain,30.508000000000003,105.5733,Suining
527,Dwarka,IN,82.89,overcast clouds,22.2394,68.9678,Dwarka
531,Monrovia,LR,78.8,light rain,6.3005,-10.7969,Monrovia
535,Krishnagiri,IN,79.2,clear sky,12.5333,78.2333,Krishnagiri
536,Los Llanos De Aridane,ES,68.0,broken clouds,28.6585,-17.9182,Los Llanos
544,Kulhudhuffushi,MV,83.7,overcast clouds,6.6221,73.07,Kulhudhuffushi
546,Westport,US,66.0,scattered clouds,41.1415,-73.3579,Norwalk
547,Ikom,NG,80.67,overcast clouds,5.9667,8.7063,Ikom
550,Gat,IL,73.99,clear sky,31.61,34.7642,Kiryat Gat
551,Beruwala,LK,79.34,overcast clouds,6.4788,79.9828,Beruwala
552,Bubaque,GW,78.82,clear sky,11.2833,-15.8333,Bubaque
554,Karema,TZ,73.04,broken clouds,-6.8205,30.4389,Karema
556,Salalah,OM,82.4,scattered clouds,17.0151,54.0924,Salalah
559,Touros,BR,80.6,broken clouds,-5.1989,-35.4608,Touros
560,Zuwarah,LY,73.71,broken clouds,32.9312,12.082,Zuwara
564,Semnan,IR,71.98,clear sky,35.5729,53.3971,Semnan
566,Hualmay,PE,72.39,few clouds,-11.0964,-77.6139,Huacho
567,Port-Gentil,GA,82.4,light rain,-0.7193,8.7815,Port-Gentil
568,Darnah,LY,81.77,few clouds,32.766999999999996,22.6367,Derna
571,Rockport,US,77.0,mist,28.0206,-97.0544,Rockport
574,Beihai,CN,76.95,overcast clouds,21.4833,109.1,Beihai
579,Nizwa,OM,75.45,few clouds,22.9333,57.5333,Nizwa
585,Manta,EC,80.6,light rain,-0.95,-80.7333,Manta
586,Sri Aman,MY,75.0,overcast clouds,1.2376,111.4621,Sri Aman
587,Tinaogan,PH,82.4,scattered clouds,9.7791,123.1503,Bindoy
589,Ixtapa,MX,82.4,few clouds,20.7,-105.2,Puerto Vallarta
590,Harper,LR,81.32,overcast clouds,4.375,-7.7169,Harper
591,Port Hedland,AU,71.6,clear sky,-20.3167,118.5667,Port Hedland
593,Florestopolis,BR,77.0,few clouds,-22.8633,-51.3872,Florestópolis
597,Terrasini,IT,69.01,clear sky,38.146,13.0844,Terrasini
598,Las Palmas,ES,68.0,scattered clouds,28.4204,-14.0131,Antigua
602,Sinnamary,GF,75.04,light rain,5.3833,-52.95,Sinnamary
603,Puerto Carreno,CO,77.97,overcast clouds,6.189,-67.4859,Puerto Carreño
606,Sinnai,IT,66.2,clear sky,39.3042,9.2036,Sinnai
607,Mitsamiouli,KM,82.26,clear sky,-11.3847,43.2844,Mitsamiouli
611,Tabas,IR,79.88,overcast clouds,33.5959,56.9244,Tabas
615,Buzmeyin,TM,69.8,broken clouds,38.0507,58.2056,Ashgabat
619,Portland,US,66.2,broken clouds,45.5234,-122.6762,Portland
620,Grand Gaube,MU,78.01,clear sky,-20.0064,57.6608,Goodlands
621,Taoudenni,ML,84.76,overcast clouds,22.6783,-3.9836,Taoudenni
623,Iguape,BR,73.18,broken clouds,-24.7081,-47.5553,Ilha Comprida
626,Bull Savanna,JM,83.08,scattered clouds,17.8868,-77.5902,Alligator Pond
629,Vigia Del Fuerte,CO,81.7,overcast clouds,6.5789,-76.8863,Vigía del Fuerte
630,Kalispell,US,71.01,scattered clouds,48.1958,-114.3129,Kalispell
634,Cavalcante,BR,76.8,overcast clouds,-13.7975,-47.4583,Cavalcante
637,Sao Filipe,CV,72.3,few clouds,14.8961,-24.4956,Sao Filipe
640,Rio Cuarto,AR,77.0,clear sky,-33.1307,-64.3499,Río Cuarto
642,Tripoli,LY,77.25,overcast clouds,32.8752,13.1875,Tripoli
643,Voh,NC,67.57,scattered clouds,-20.9667,164.7,Voh
644,Key West,US,84.2,clear sky,24.5557,-81.7826,Key West
645,La Macarena,CO,75.33,moderate rain,2.1837,-73.7849,La Macarena
648,Ambon,ID,81.32,overcast clouds,-3.6954,128.1814,Teluk Ambon
652,Tual,ID,82.85,scattered clouds,-5.6667,132.75,Tual
653,San Luis,AR,74.05,broken clouds,-33.295,-66.3356,San Luis
655,Valparaiso,CL,66.2,few clouds,-33.0393,-71.6273,Valparaíso
658,Sao Sebastiao,BR,72.99,overcast clouds,-23.76,-45.4097,Caraguatatuba
659,Cody,US,75.0,clear sky,44.5263,-109.0565,Cody
