,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Kokstad,ZA,-30.5472,29.4241,46.31,95,100,3.42,light rain
275,Tiznit,MA,29.5833,-9.5,57.72,65,33,11.79,scattered clouds
276,Ust-Nera,RU,64.5667,143.2,27.68,96,97,2.37,overcast clouds
277,Jaisalmer,IN,26.9147,70.9181,86.79,32,1,15.86,clear sky
278,Canico,PT,32.6333,-16.85,64.4,55,40,8.05,scattered clouds
279,Chhatarpur,IN,24.9,79.6,90.63,14,2,4.43,clear sky
280,Suntar,RU,62.1444,117.6319,33.42,96,100,4.38,overcast clouds
281,Beverungen,DE,51.6667,9.3667,48.2,76,0,4.61,clear sky
282,Nouadhibou,MR,20.931,-17.0347,71.6,78,0,16.11,clear sky
283,Iqaluit,CA,63.7506,-68.5145,35.6,75,75,17.27,broken clouds
284,Matay,EG,28.419,30.7792,92.82,10,0,19.3,clear sky
285,Rawson,AR,-43.3002,-65.1023,72.12,25,99,5.61,overcast clouds
286,Jacala,MX,21.0167,-99.1833,72.0,60,99,6.26,overcast clouds
287,Klaksvik,FO,62.2266,-6.589,39.2,70,75,5.75,broken clouds
288,Timbiqui,CO,2.7717,-77.6654,74.55,93,100,0.72,light rain
289,Dongsheng,CN,39.8161,109.9776,42.55,52,50,3.02,scattered clouds
290,Butterworth,MY,5.3991,100.3638,77.0,94,40,7.76,light rain
291,Awallan,PH,17.9244,121.913,73.09,82,16,2.73,few clouds
292,Isangel,VU,-19.55,169.2667,76.86,78,100,15.82,overcast clouds
293,Torbay,CA,47.6666,-52.7314,44.01,70,75,13.8,broken clouds
294,Mount Pleasant,US,32.7941,-79.8626,87.8,48,75,12.66,broken clouds
295,Kasongo-Lunda,CD,-6.4667,16.8167,73.51,94,100,1.57,light rain
296,Beloha,MG,-25.1667,45.05,72.81,75,16,5.79,few clouds
297,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,77.0,88,40,5.75,scattered clouds
298,Wanning,CN,18.8003,110.3967,75.92,87,90,3.76,overcast clouds
299,Nome,US,64.5011,-165.4064,21.99,63,1,5.44,clear sky
300,Menongue,AO,-14.6585,17.691,65.01,82,87,4.94,overcast clouds
301,Gardabani,GE,41.4605,45.0928,68.0,56,75,9.22,broken clouds
302,Mitu,CO,1.1983,-70.1733,77.0,91,63,3.85,broken clouds
303,Namibe,AO,-15.1961,12.1522,75.33,78,50,6.38,scattered clouds
304,Pamekasan,ID,-7.1568,113.4746,78.66,79,45,3.62,scattered clouds
305,Keti Bandar,PK,24.1447,67.4497,82.89,75,100,13.27,overcast clouds
306,Sistranda,NO,63.7256,8.834,39.2,75,75,8.05,broken clouds
307,Longyearbyen,SJ,78.2186,15.6401,17.6,67,75,16.11,snow
308,Merauke,ID,-8.4667,140.3333,75.81,90,24,9.57,few clouds
309,Quatre Cocos,MU,-20.2078,57.7625,78.01,83,20,11.5,light rain
310,Bima,ID,-8.4667,118.7167,75.31,95,10,1.92,clear sky
311,Riverton,US,40.5219,-111.9391,79.0,33,1,8.05,clear sky
312,Khorixas,NA,-20.3667,14.9667,71.98,28,0,9.6,clear sky
313,Atar,MR,20.5169,-13.0499,87.8,42,0,9.37,clear sky
314,Norsup,VU,-16.0667,167.3833,77.88,82,74,10.85,broken clouds
315,Lugovoy,KZ,42.9472,72.7644,55.35,91,100,12.95,overcast clouds
316,Hasaki,JP,35.7333,140.8333,50.0,100,20,2.3,few clouds
317,Margate,GB,51.3813,1.3862,46.0,65,38,1.01,scattered clouds
318,Dingle,PH,10.9995,122.6711,75.99,71,100,5.08,light rain
319,Varhaug,NO,58.6147,5.6457,45.0,72,0,5.3,clear sky
320,Grand-Bourg,GP,15.8835,-61.3148,82.4,69,75,11.5,broken clouds
321,Maromitsa,RU,59.8683,48.0123,41.97,94,100,11.95,light rain
322,Moss Point,US,30.4116,-88.5345,75.2,88,90,7.94,light rain
323,Fuerte Olimpo,PY,-21.0415,-57.8738,88.61,26,0,4.59,clear sky
324,Avera,US,33.194,-82.5271,80.6,39,1,10.36,clear sky
325,Huangmei,CN,30.1924,116.025,70.23,81,0,2.01,light rain
326,Kenai,US,60.5544,-151.2583,37.99,87,90,5.75,overcast clouds
327,Half Moon Bay,US,37.4636,-122.4286,70.0,82,75,12.66,haze
328,Lamu,KE,-2.2717,40.902,81.3,79,39,12.77,scattered clouds
329,Bend,US,44.0582,-121.3153,71.6,17,1,3.09,clear sky
330,Banamba,ML,13.55,-7.45,94.8,23,96,7.63,overcast clouds
331,Jawa,JO,31.8525,35.9393,77.0,16,0,4.61,clear sky
332,Batesville,US,35.7698,-91.641,75.99,35,1,6.91,clear sky
333,Naryan-Mar,RU,67.6713,53.087,30.4,86,100,7.23,overcast clouds
334,Viedma,AR,-40.8135,-62.9967,79.07,29,96,17.2,overcast clouds
335,Tazovskiy,RU,67.4667,78.7,31.01,96,100,11.14,overcast clouds
336,Gazanjyk,TM,39.2446,55.5154,73.74,47,38,7.92,scattered clouds
337,Ulaangom,MN,49.9811,92.0667,53.31,37,81,4.97,broken clouds
338,Pevek,RU,69.7008,170.3133,14.23,93,100,10.67,overcast clouds
339,Soe,ID,-9.8607,124.284,66.45,90,55,4.38,broken clouds
340,Varadero,CU,23.1536,-81.2514,89.6,40,40,13.8,scattered clouds
341,Amga,RU,60.8953,131.9608,27.79,98,96,2.8,overcast clouds
342,Mackenzie,CA,55.2999,-123.1698,48.2,66,90,6.91,overcast clouds
343,Campina Verde,BR,-19.5356,-49.4864,82.94,39,100,7.65,overcast clouds
344,Carmen,MX,18.6333,-91.8333,93.2,49,75,11.56,broken clouds
345,Villazon,BO,-22.0866,-65.5942,57.13,15,4,4.83,clear sky
346,Yining,CN,29.0361,114.5636,65.55,80,0,2.86,clear sky
347,Sarangani,PH,5.4033,125.4636,82.65,77,100,16.8,overcast clouds
